time,sensorVal0,sensorValConfidence0,sensorVal1,sensorValConfidence1,sensorVal2,sensorValConfidence2,sensorVal3,sensorValConfidence3,traditionalEstDiff,overlapEstDiff,tradDuration,overlapDuration,updateDuration
39,2,148,4,219,4,216,2,218,3,3.33333,4370,2896,12961
40,3,155,4,216,1,222,1,224,2.25,2,4324,2865,12843
41,0,168,4,223,1,225,-1,225,1,1.33333,4225,2870,13125
42,3,163,4,221,3,222,3,226,3.25,3.33333,4432,2901,13064
43,2,163,4,226,1,219,3,225,2.5,2.66667,4256,2868,12800
44,3,145,3,219,3,214,-1,220,2,1.66667,4439,2939,12865
45,-1,165,1,221,1,224,1,225,0.5,1,4222,2944,13108
46,2,151,2,220,4,219,2,219,2.5,2.66667,4584,2882,12937
47,3,166,2,222,1,225,2,224,2,1.66667,4245,2869,12864
48,1,171,5,229,5,224,-1,224,2.5,3,4268,2860,13031
49,1,178,5,225,4,232,2,228,3,3.66667,4256,2876,13200
50,-1,171,4,226,4,223,1,227,2,3,4388,2850,12919
51,2,224,3,167,4,225,3,223,3,3,4376,2899,13064
52,2,226,4,184,3,232,2,232,2.75,2.33333,4409,2976,12858
53,2,234,4,192,5,233,0,231,2.75,2.33333,5061,3264,13398
54,-1,221,5,152,3,221,-1,215,1.5,0.333333,4454,2965,13111
55,-1,232,2,182,3,227,3,230,1.75,1.66667,4373,2926,12841
56,2,224,5,162,1,223,-1,221,1.75,0.666667,4218,2869,12818
57,-1,227,3,163,4,221,1,221,1.75,1.33333,4448,2815,13188
58,1,223,4,158,4,223,2,218,2.75,2.33333,4291,2736,13088
59,0,220,1,154,1,220,1,220,0.75,0.666667,4514,2964,13047
60,0,235,4,194,3,230,3,235,2.5,2,4422,2875,12981
61,-1,226,1,177,3,226,1,231,1,1,4423,2962,13034
62,0,224,5,168,5,224,2,225,3,2.33333,4257,2856,12841
63,0,225,2,169,5,228,3,222,2.5,2.66667,3646,2498,13037
64,0,226,3,164,3,222,3,222,2.25,2,3720,2414,12926
65,1,226,1,178,1,228,2,229,1.25,1.33333,5111,3837,13109
66,0,229,2,168,5,223,0,223,1.75,1.66667,3582,2328,12981
67,2,224,1,164,3,223,-1,223,1.25,1.33333,3511,2362,12985
68,1,233,4,192,3,232,0,232,2,1.33333,3805,2521,12984
69,2,223,3,165,2,227,0,220,1.75,1.33333,3737,2373,13322
70,1,229,3,176,3,227,3,226,2.5,2.33333,3801,2369,13000
71,0,218,2,152,2,219,0,220,1,0.666667,3805,2447,13013
72,3,228,3,178,5,226,3,229,3.5,3.66667,3825,2444,12982
73,3,228,3,178,1,228,3,227,2.5,2.33333,3776,2385,13257
74,-1,222,2,161,5,223,0,221,1.5,1.33333,3598,2356,12934
75,-1,222,2,161,3,222,1,223,1.25,1,3694,2439,13073
76,2,228,5,185,5,229,2,233,3.5,3,3761,2419,13004
77,-1,225,5,163,2,224,0,221,1.5,0.333333,3658,2363,13272
78,0,227,3,177,5,229,0,228,2,1.66667,3874,2525,12891
79,-1,229,5,175,5,224,-1,229,2,1,3777,2419,13032
80,2,230,3,177,5,223,2,230,3,3,3812,2452,12903
81,0,221,1,152,3,220,3,217,1.75,2,3745,2461,13321
82,0,222,1,165,4,223,2,226,1.75,2,3459,2433,12891
83,2,219,1,158,3,226,-1,218,1.25,1.33333,3665,2453,12967
84,1,222,5,152,1,220,1,216,2,1,3762,2550,12982
85,3,226,1,175,1,228,2,227,1.75,2,3564,2314,13308
86,-1,225,1,179,2,230,1,229,0.75,0.666667,3475,2365,12981
87,0,218,2,151,4,223,-1,216,1.25,1,3506,2540,12958
88,2,226,4,163,2,220,2,223,2.5,2,3667,2414,13085
89,1,226,1,180,3,231,-1,228,1,1,3609,2333,13290
90,1,225,5,171,2,226,-1,227,1.75,0.666667,3837,2360,13041
91,0,226,4,171,4,228,1,223,2.25,1.66667,3632,2402,13113
92,-1,226,3,168,1,227,2,221,1.25,0.666667,3590,2348,12882
93,1,225,5,167,4,223,-1,225,2.25,1.33333,3796,2421,13250
94,3,225,2,176,2,229,0,228,1.75,1.66667,3789,2487,13059
95,0,223,2,172,2,230,0,225,1,0.666667,3640,2433,13118
96,0,226,5,165,5,223,1,223,2.75,2,3697,2484,13073
97,0,219,1,156,3,223,-1,219,0.75,0.666667,3733,2480,13216
98,3,231,5,194,1,234,2,235,2.75,2,4336,2898,13021
99,0,231,2,188,2,230,1,233,1.25,1,3695,2558,12987
100,2,229,4,177,1,226,-1,228,1.5,0.666667,3780,2468,12975
101,1,224,5,221,4,158,2,219,3,2.66667,3910,2677,13255
102,2,218,1,218,1,155,1,225,1.25,1.33333,3627,2425,13095
103,1,221,1,224,1,156,2,217,1.25,1.33333,3518,2506,12946
104,2,220,4,221,5,159,-1,223,2.5,1.66667,3621,2376,13174
105,0,223,5,226,2,171,0,226,1.75,1.66667,3741,2508,16739
106,0,227,4,225,3,172,-1,227,1.5,1,3514,2770,10394
107,0,221,4,226,3,159,3,218,2.5,2.33333,3655,2493,10426
108,0,220,3,216,4,149,2,219,2.25,1.66667,4534,3212,10505
109,3,227,1,228,1,171,0,222,1.25,1.33333,3790,2444,10656
110,0,221,4,224,3,159,3,220,2.5,2.33333,3843,2533,10454
111,2,228,3,232,2,180,0,226,1.75,1.66667,3810,2461,10524
112,0,221,2,219,2,159,3,224,1.75,1.66667,3726,2434,10638
113,2,234,3,227,1,189,-1,234,1.25,1.33333,3648,2459,10730
114,-1,220,3,222,4,159,1,222,1.75,1,3771,2481,10420
115,-1,224,3,225,3,167,3,223,2,1.66667,3605,2465,10513
116,1,222,4,223,1,163,0,225,1.5,1.66667,3643,2439,10440
117,-1,230,4,231,5,189,1,233,2.25,1.33333,3621,2520,10693
118,3,223,5,224,3,166,1,225,3,3,9174,3140,10450
119,1,217,4,221,2,154,-1,222,1.5,1.33333,3893,2533,10397
120,1,227,2,225,3,171,2,224,2,1.66667,3625,2439,10345
121,1,218,2,222,4,150,1,215,2,1.33333,3961,2430,10709
122,-1,231,2,230,1,180,-1,225,0.25,0,3708,2464,10375
123,-1,219,3,224,5,158,-1,221,1.5,0.333333,4182,3240,10423
124,3,223,2,228,2,171,0,226,1.75,1.66667,3858,2454,10489
125,-1,225,4,231,1,173,3,224,1.75,2,4028,2767,10714
126,0,222,3,228,2,173,-1,229,1,0.666667,3742,2487,10342
127,2,226,3,227,1,170,3,222,2.25,2.66667,3756,2576,10325
128,3,233,1,230,2,184,-1,227,1.25,1,3577,2361,10399
129,1,223,1,222,2,162,1,223,1.25,1,6338,4939,10572
130,1,229,4,230,5,181,2,228,3,2.33333,5455,3622,10594
131,1,227,1,230,1,178,1,227,1,1,5189,3152,10357
132,0,222,1,223,5,162,3,223,2.25,1.33333,5165,3736,10458
133,0,226,3,225,5,172,2,226,2.5,1.66667,5127,3426,10610
134,0,231,1,223,5,178,0,230,1.5,0.333333,4412,2761,10559
135,1,224,4,229,4,176,0,229,2.25,1.66667,3713,2504,10338
136,1,227,1,229,1,179,-1,229,0.5,0.333333,3677,2538,10482
137,1,236,2,235,5,199,0,234,2,1,3721,2530,10679
138,2,216,2,221,3,148,1,218,2,1.66667,54812,4325,10513
139,-1,232,1,226,4,184,-1,232,0.75,0.333333,4014,2685,10487
140,-1,226,5,228,1,176,2,227,1.75,2,3620,2429,10559
141,0,234,2,228,5,185,-1,229,1.5,0.333333,3703,2404,10640
142,-1,221,1,224,3,159,-1,220,0.5,0.333333,3588,2392,10439
143,3,228,2,224,3,173,3,227,2.75,2.66667,4455,2757,10412
144,1,221,2,218,4,159,-1,226,1.5,0.666667,3641,2471,10316
145,2,233,3,230,3,186,1,230,2.25,2,3799,2527,10679
146,1,220,3,222,3,157,3,220,2.5,2.33333,3739,2409,10537
147,1,228,1,221,4,173,-1,229,1.25,0.333333,4519,2811,10479
148,1,224,3,222,1,163,0,223,1.25,1.33333,3809,2583,10419
149,-1,236,2,234,5,199,2,234,2,1,3548,2450,10602
150,-1,236,1,232,4,193,1,231,1.25,0.333333,3503,2348,10392
